Recipe Name,Category,Ingredients,Method,Yield/Notes
"Caesar Dressing","Sauces & Condiments","1 1/2 cup Kalamata Olives, minced
2 medium Shallots
1/2 cup Parmesan
2 tsp Garlic
Pinch Herbs
Salt and Pepper
1 cup Red Vinegar
3 quarts Mayo
1/4 cup Dijon Mustard","1. Blend olives in Robo Coupe until paste forms.
2. Add shallots, parmesan, garlic, herbs, and salt & pepper. Blend.
3. Add vinegar, mayo, and dijon mustard. Blend until smooth.
4. Date and store.","Yield: 4 Quarts"
"Calamari 'old'","Prep & Pantry","1 cup Calamari frozen dagneses calamari
to taste Flour
Salt And Pepper
drizzle Citrus Aioli
heaping tbsp Tomato Relish
pinch Herb Mix","1. Place 1 even cup drained calamari in flour mix. Coat well.
2. Fry 45 seconds to a 1 min until golden brown.
3. Toss in mixing bowl with s+p.
4. Place in bowl, drizzle with aioli and scoop tomato relish on top.
5. Garnish with herbs.","Shelf Life: 3 Days"
"Confit Wings 'old'","Prep & Pantry","40 lb Chicken Wings case
8 qt Chicken Fat melted
Dry Cure For Confit Wing Prep
3 Chicken Wings
1 pinch Pickled Celery
2 tbsp Greek Yogurt Ranch Dressing
3 tbsp Smoked Bleu Cheese Buffalo","1. Drain entire case of wings.
2. Toss chicken in cure to coat.
3. Place in bus tubs with lid and a label in walk in cooler.
4. Allow to cure overnight, 2 days maximum.
5. Drain off liquid cure from chicken thoroughly.
6. Melt chicken fat in rondeau.
7. Submerge 1/2 case of wings in melted fat.
8. Simmer wings over low heat for 2 hours or until meat begins to recede from the bone.
9. Allow to cool slightly, drain off fat, sieve and reserve for future uses.
10. Cool wings on sheet trays on rack.
11. Pan up in 3rd pans, wrap and day dot.
12. Place one in pantry station cooler and one in reach in cooler.
13. Place 3 whole wings in fryer basket and flash fry for 3 minutes.
14. Toss with sauce.
15. Plate in a bowl with a swoosh of greek yogurt ranch and pickled celery.","Yield: 40 lb, Shelf Life: 1 Week"
"Dry Cure For Confit Wing Prep 'old'","Prep & Pantry","1 qt Kosher Salt
1 qt Brown Sugar
1/2 cup Chili Flakes","1. Whisk all together in mixing bowl.
2. Store in cambro with day dot or use immediately.",""
"Buffalo Sauce 'old'","Prep & Pantry","1 qt Moody Blue Cheese
1 gallon Frank's Red Hot Sauce
1 lb Butter, melted","1. Combine all in robocoop and blend till well combined.
2. Store in cambro with date dot in reach in cooler.",""
"Smoky BBQ Dry Rub 'old'","Prep & Pantry","2 cup Brown Sugar
2 cup Smoked Paprika
1/2 cup MSG
1/2 cup Garlic Powder
1/2 cup Onion Powder
1/2 cup Ground Black Pepper
1/2 cup Ground Ginger
1 tbsp Ground Cinnamon","1. Sift all together into a mixing bowl.
2. Press out any lumps left in sifter with rubber spatula.
3. Store in cambro and day dot.","Yield: 1 batch, Shelf Life: 1 Week"
"Pickled Celery 'old'","Prep & Pantry","4 bunch Celery shaved
2 qt Vinegar
2 qt Sugar
2 tbsp Pink Peppercorn
8 leaf Bay Leaf Dried
Salt And Pepper","1. Set mandolin to medium thickness.
2. Shave celery into biased U shaped pieces into a 1/2 pan. You can also slice with a knife on a thin bias. Comes out better with the mandolin.
3. Boil vinegar, sugar and spices.
4. Pour vinegar mixture over shaved celery and immediately cover with plastic wrap.
5. Allow mixture to steep for 1 hour.
6. Pour into cambro and day dot. Store in reach-in cooler.","Yield: 1 batch, Shelf Life: 1 Week"
"Gochujang BBQ 'old'","Prep & Pantry","2 qt Ketchup
2/3 cup Brown Sugar
1 cup Gochujang
1 cup Cider Vinegar
1/4 cup Worcestershire Sauce
32 Garlic, cloves
1 cup Soy Sauce sweet
1 cup Sesame Oil
1 cup Sesame Seeds","1. Combine all but sesame seeds in a sauce pan and simmer until well combined for approx 20 min.
2. Blend with immersion blender until smooth.
3. Add seeds and continue simmering for 10 min.
4. Cool date and store in reach in cooler in a green lid cambro.",""
"Smoked Bleu Cheese Buffalo 'old'","Prep & Pantry","1 gallon Frank's Red Hot Sauce
2 lb Butter
1/4 wheel Moody Blue Cheese","1. Simmer all together in a sauce pan until cheese is melted. Approx 20 min.
2. Blend with immersion blender till smooth. Chunks of blue cheese will get caught in the bottle if not smooth enough.
3. Cool, date, store in reach in cooler in red lid cambro.",""
"Confit Garlic 'old'","Prep & Pantry","1 Cont Peeled Garlic
1 gallon Olive Oil pomace","1. Combine garlic and oil in sauce pan and simmer on low until garlic is softened and just beginning to brown.
2. Strain garlic from oil.
3. Add oil to garlic oil in walk in.
4. Cool, date and store garlic in reach in.",""
"Pancetta 'old'","Prep & Pantry","1/2 Pancetta log, small dice","1. Peel plastic off pancetta.
2. Ensure there isnt another layer before taking to the slicer.
3. Slice 1/4 in thick slices on slicer.
4. Cut slices into strips of equal size of the slice.
5. Dice slices into small dice.
6. Par cook on the grill until fat begins to render.
7. Cool, date and store in reach-in in green lid cambro.",""
"Jalapeno Honey","Prep & Pantry","1 jug Honey 1 lb
12 Jalapeno washed
2 cups Garlic Cloves
to taste Salt And Pepper","1. Combine in sauce pan and simmer over low heat until jalapenos have softened. Approx 20 min.
2. Season mix while hot.
3. Strain honey from peppers.
4. Press peppers into strainer to get as much flavor as possible squeezed out.
5. Cool, date and store in reach-in cooler with green lid cambro.",""
"Calabrian Aioli 'old'","Prep & Pantry","1 gallon Mayo
1 cup Lemon, juice
1 qt Calabrian Chilies In Oil chiles, stems removed
6 Garlic, cloves
Salt And Pepper","1. Combine all but mayo in robocoop.
2. Blend until well combined and smooth.
3. Add mixture to a mixing bowl and mix in mayo.
4. Season to taste.
5. Date and store in reach in cooler in red lid cambro.",""
"Fritto Misto 'old'","Prep & Pantry","To prep:
1 bag Frozen Squid calamari
1 bag Bay Scallops frozen
2 cup Banana Peppers strained
2 qt Buttermilk
1 bag Shrimp frozen
Lemon sliced

For an order:
1 cup Fritto Misto mix
2 Shrimp
2 slice Lemon
Banana Peppers handful of
Herb Mix
to taste Salt And Pepper
Arugula small bed in bowl
1 ramekin Calabrian Aioli","1. Thaw seafood.
2. Combine squid and scallops in 1/3 pan with peppers and buttermilk.
3. Wrap it, date it, stick on pantry station.
4. Store squid and scallops in one 1/3 pan with 1/9 pan of banana peppers. Shrimp in another. Sliced lemons on the top rail.
5. For an order: 1 cup calamari mix. Few peppers. 2 shrimp. 2 lemon slices.
6. Dredge all in flour mix. (1 part flour 1 part corn starch, salt and pepper to taste).
7. Sieve excess flour then fry in fryer for 1 minute. Season with salt and pepper to taste.
8. Plate in bowl with a small bed of arugula garnished with herb mix. 1 ramekin of calabrian chile aioli.",""
"Mini Meatballs","Prep & Pantry","3 Onion minced
1 cup Roasted Garlic from dagnese's
20 pound Dry Aged Beef
1 Cont Ricotta Cheese
1 cup Herb Mix packed Italian
2 qt Liquid Egg Yolks brunch eggs
6 tsp Kosher Salt
2 tsp Ground Black Pepper freshly
1 qt Breadcrumbs dry crumbs
2 oz Dried Oregano
2 oz Dried Basil
1 cup Grated Parmesan
4 oz Chili Flakes","1. Sweat garlic and onion in a pan. add dried herbs and spices to waken them up.
2. Combine garlic, onion, veal, cheese, egg in a large mixing bowl till homogenous.
3. Add remaining ingredients and mix till combined
4. Scoop into 1/2 oz balls with pink scoop.
5. Roast in 500 degree oven for 8-10 min with fan.
6. Cool on a rack.
7. Date and store in shallow 1/3 pans on the line","makes ~700 meatballs"
"Ricotta","Prep & Pantry","4 gallon Milk whole
2 cup Distilled White Vinegar
2.5 tbsp Salt","1. Heat milk in rondo till it reaches a temperature of 185 f.
2. Cut heat and add vinegar, then give 1 good stir.
3. Keep milk at 185 as best you can for 20 min on low heat. you may have to turn off the heat to regulate.
4. After 20 min strain through a fine mesh sieve, reserving 1 qt of the liquid whey.
5. Turn strained cheese into a mixing bowl and ladle whey back into the cheese until it reaches a moist creamy consistency.
6. Cool on rack.
7. Date and store in green lid cambro in reach in cooler","Yield: 4 qt"
"Pomodoro","Sauces & Condiments","6 can Canned Tomato passata
2 lb Butter
5 large Onion rough chop
48 Garlic, cloves rough chopped
4 oz Dried Basil
4 oz Herb Mix
4 oz Chili Flakes from hot sauce in walk in cooler
to taste Salt after reduced
to taste Sugar after reduced
to taste MSG after reduced","1. Fry onion, garlic and chili flakes in large pot with garlic oil until begging to brown. You want these frying, not just simmering. It helps make it spicy.
2. Add dried herbs and spices fry for another minute.
3. Add tomatoes.
4. Simmer for an hour.
5. Blend with immersion blender.
6. Taste final product. add sugar and salt and msg to taste. You should be able to taste heat, sweetness, richness and be properly seasoned.
7. Cool. date and store in blue lid large cambro","Yield: 1 large cambro"
"Cilantro Slaw Mk1","Appetizers & Sides","2 qt Mayo
1 pint Lime, juice
1 cup Dijon Mustard
1/2 cup Ground Black Pepper
1.5 qt Sugar
3 bunch Cilantro chopped
3 tbsp Ginger dried","1. Whisk all till well combined.
2. Date and store in reach-in in a cambro",""
"Brussels Sprouts 'old'","Appetizers & Sides","18 ea Brussels Sprouts enough to fill the pan. face down
6 pc Confit Garlic
10 pc Pancetta par cooked
1 drizzle Jalapeno Honey
to taste Salt And Pepper
Garlic Oil enough to coat the bottom of the pan. no particles, they burn too fast.","1. Heat pan dry till white wisps of smoke emerge
2. Add garlic oil to pan. when oil shimmers and smokes add brussels. season with salt and pepper. shake pan/rearrange as many face down as possible.
3. Sear for 3-5 min
4. Add garlic and pancetta to the pan and continue to sauté until fragrant.
5. Plate in a brown crock, drizzle with jalapeno honey to serve.",""
"Dijonaise","Sauces & Condiments","1 gallon Mayo
1 qt Whole Grain Mustard
4 oz apple cider vinegar","1. Whisk till combined.
2. Store in cambro. date and place in reach in cooler.",""
"Corn Salsa","Appetizers & Sides","2 bag Frozen Corn THAWED
1 bunch Cilantro FRESH, CHOPPED
1 Onion, diced
6 Peppers CUBANELLE, CORED AND DICED
3 Peppers RED, DICED, FRESH OR CANNED
1/4 cup Garlic, minced
3 tbsp Cajun Seasoning
Cumin Seed
Cayenne
Chili Powder
Bottled Lime Juice
to taste Salt And Pepper","1. Combine all ingredients in mixing bowl.
2. Store in 10 qt cambro.
3. Date.",""
"Cilantro Lime Sour Cream","Sauces & Condiments","1 Cont Sour Cream
8 Lime juiced
1 bunch Cilantro chopped fine
to taste Salt And Pepper","1. Combine sour cream, cilantro and lime juice in bowl.
2. Whisk until well incorporated.
3. Store in green lid 4 qt cambro. label and store in reach in.",""
"Orecchiette 'old'","Mains & Entrees","to prep:
4 qt Orecchiette Pasta fresh
Salt
for an order:
1 cup Pasta par cooked
4 tbsp Butter
drizzle Garlic Oil
6 Brussels Sprouts chopped or use bags shake
1 pinch Calabrian Chilies In Oil
2 Anchovies In Oil
1 tbsp Herb Mix
pinch Parmesan
2 tbsp. Toasted Bread Crumbs
1/4 Focaccia toasted with garlic oil in oven
drizzle Extra Virgin Olive Oil
Micro Greens","to prep:
1. Bring water to boil in deep pot.
2. Season water till salty as the sea.
3. Par cook for 5 min.
4. Strain and shock with cold water.
5. Store in 1/3 pan. label and date.
for an order:
6. Saute brussels until caramelized. add chiles and anchovy and saute till fragrant.
7. Boil pasta at the same time. 1 minute drop time.
8. Toast focaccia in the oven with garlic oil. 3 min.
9. Combine pasta, pan ingredients, herb mix, parmesan, and EVOO. saute till emulsified.
10. Plate small and tall in bowl. garnish with focaccia, EVOO and microgreens.",""
"Campanelle, Prep 'old'","Prep & Pantry","Campanelle Pasta fresh
4 gt Salt","1. Bring water to boil in deep pot.
2. Season water till salty as the sea.
3. Par cook for 5 min.
4. Strain and shock with cold water.
5. Store in 1/3 pan. label and date.",""
"Toasted Bread Crumbs","Prep & Pantry","1 qt Panko bread crumbs
1 pinch Dried Basil
1 pinch Dried Oregano
1/4 cup Parmesan cheese
1 cup Butter","1. Melt butter.
2. Toast bread crumbs in butter until beginning to brown.
3. Add dried herbs and cheese.
4. Cool.
5. Label and store in qt container.",""
"Moules Marinière 'old'","Mains & Entrees","3 cup Mussels fresh
3 tbsp Butter
1 pinch Leeks sauteed leek mixture
6 clove Confit Garlic
1 heaping tbsp Dijonaise
1/3 btl Apple Cider hard cider
1 tbsp Salt And Pepper
1 tbsp Herb Mix
1 tbsp Lemon, juice","1. Toast focaccia in oven with garlic oil.
2. Saute leek mixture and garlic in butter until fragrant.
3. Add mussels to the pan and saute 1 minute.
4. Deglaze with cider.
5. Add dijonaise, salt and pepper, herbs, lemon to pan and reduce until mussels are opened and broth is thickened about 2-3 minutes.
6. Pile mussels small tall in a bowl. garnish with microgreens and focaccia.",""
"Crostacei Campanelle 'old'","Mains & Entrees","3 Shrimp
1 pinch Bay Scallops
1 pinch Lump Crab Meat
1 pinch Roasted Tomatoes
drizzle Garlic Oil
to taste Salt And Pepper
6 oz Pomodoro
1 cup Campanelle Pasta par cooked
Herb Mix
1/4 Focaccia
Micro Greens","1. Toast focaccia in oven with garlic and oil.
2. Get pan hot with garlic oil.
3. Saute shrimps and scallops for 1 min. add crab, saute another minute.
4. Deglaze pan with spicy pomodoro. add herb mix.
5. Boil pasta and add to pan and toss to combine.
6. Pile small and tall in bowl. garnish bowl with shaved piave, micro greens, focaccia and EVOO.",""
"Roasted Chicken 'old'","Mains & Entrees","for prep:
1 cs Chicken Breast airline
1 ea Brine For Chicken Old
for service:
1 pc Chicken
1/4 cup Quinoa
1/4 cup Spinach sauteed
4 oz Vegetable Stock
2 oz Lemon Butter lemon
Micro Greens","to prep:
1. Strain raw chicken.
2. Combine herb mix, garlic and oil, lemon juice and seasonings in a deep fish tub.
3. Mix chicken into marinate and let marinate for 1 day.
4. After marinate, grill 1/2 case at a time for 5 minutes, skin side down.
5. Place in hotel pan with marinade and roast for 8 min.
6. Cool on rack on sheet tray.
7. Store in 1/3 pan with juices.
8. Wrap and store on saute station.
for an order:
9. Grill chicken skin side down with a dome covering with water for steam. flip to other side after 3 min.
10. Saute quinoa and spinach with chicken stock until reduced.
11. Once chicken is 165 degrees, plate on white/pink plate. quina mound first, then spinach then chicken, skin side up.
12. Garnish with lemon butter and microgreens.",""
"Quinoa 'old'","Prep & Pantry","1 qt Quinoa Red dried red quinoa
9 cup Vegetable Stock","1. Bring stock to a boil.
2. Whisk in quinoa and bring back to boil.
3. Reduce to simmer and continue simmering until chicken stock is reduced. approx 20 min.
4. Cool on sheet tray on rack.
5. Store in shallow fish tub with date and label in reach in.",""
"Spinach","Appetizers & Sides","1 bag Spinach
1 cup Garlic Oil
to taste Salt And Pepper","1. Grill spinach on flat top with garlic oil until wilted.
2. Place in a steam tray lined half pan to drain excess moisture.
3. Cool on wrack.
4. Date label and store in cambro in reach in cooler.",""
"Pomme Frites","Appetizers & Sides","to prep
1 Potatoes case of at a time
for an order
1 handful Of Fries
1 ramekin Sriracha Mayo 
1 ramekin Ketchup ","to prep
1. Press potatoes through fry cutter.
2. Submerge potatoes in water so they do not oxidize.
3. Drain off enough potato to fill 2 1/3 pans.
4. Blanche both baskets at a time for 2 minutes.
5. Cool on sheet trays on wrack.
6. When cool to the touch transfer to a lidded bus tub.
7. Date/label and stick in walk in cooler.
for service
8. Fry blanched potatoes for 3 minutes until golden brown and crispy.
9. Toss with salt, pepper, truffle oil, parmesan and herb mix.
10. Plate in a mound in bowl with ramekin of sriracha mayo and ramekin of ketchup.",""
"Sriracha Mayo","Sauces & Condiments","2 gallon Mayo
1 cup Cajun Seasoning
1 btl Sriracha
to taste Salt And Pepper","1. Whisk all together in a mixing bowl.
2. Store/date/label in reach in cooler in red lid cambro.",""
"Baked Brie","Appetizers & Sides","for prep:
2 wheel Brie Cheese
4 sheet Puff Pastry
for an order:
1 pc Brie Cheese baked
2 oz Blueberries
2 Strawberries
handful Red Grapes, stems removed
1 ramekin Brandy glaze
1/4 box Raincoast Crisp","to prep:
1. Cut wheels of brie into 8 pieces each.
2. Cut sheets of puff pastry into 4 pieces each.
3. Wrap each piece of brie cheese individually with 1 piece of puff pastry, ensuring there are no places brie can leak through.
4. Individually wrap each piece of wrapped brie with plastic wrap and store in shallow fish tub.
5. Date and store on saute station.
for an order:
6. Unwrap brie from plastic and place in oven on sheet tray.
7. Bake for 3-4 minutes until color starts to develop.
8. Flip brie cheese over and allow to bake for another 5 minutes until golden brown and crispy.
9. Plate on oval plate with raincoast crisp crackers and 1 of each of the 3 fruits. top cheese with brandy glaze.",""
"Brandy Glaze","Sauces & Condiments","2 btl Brandy french
1 bag Brown Sugar
1 tbsp absorbic acid","1. Combine all in sauce pot.
2. Bring to a boil.
3. Warning it will catch fire!
4. Catch the vapor on fire with the flame on low to cook off alcohol.
5. Reduce until syrupy.",""
"Hot Crock","Appetizers & Sides","to prep:
4 cup Spinach raw rough chopped
1 can Artichoke hearts, drained, rinsed, chopped
3 Cream Cheese block softened
1 cup Red Bell Pepper, diced roasted
to taste Herb Mix
Salt And Pepper
1 cup Parmesan
1/2 cup Lemon, juice
for an order:
1 Crock c
1 pc Naan Bread
drizzle Olive Oil
sprinkle Herb Mix
sprinkle Toasted Bread Crumbs","to prep:
1. Soften cream cheese on oven or in microwave.
2. Combine all other ingredients in a mixing bowl and mix till homogenous.
3. Fold in cream cheese until well combined, no streaks of cream cheese visible.
4. Place in red lid cambro. scoop 3 2oz (blue) scoops per crock. spread even, wrap with saran wrap and store on saute station.
for an order:
5. Unwrap crock, sprinkle with toasted bread crumbs and parmesan cheese and drizzle with olive oil.
6. Bake for 5 minutes until bubbly and crispy.
7. Grill naan bread on flat top with garlic oil on both sides until crispy. cut naan in to 8 pieces.
8. Place crock on yellow plate with naan chips, olive oil and herbs.",""
"Korean Fried Chicken Sandwich 'old'","Mains & Entrees","to prep
1 Chicken Breast 6 oz breasts, pounded
sprinkle Cajun Seasoning
Chicken
Eggwash
Panko breadcrumbs
for an order
1 pc Hamburger Bun
2 oz Gochujang BBQ
4 Pickles
1 oz Sriracha Mayo
3 oz Cilantro Slaw","to prep
1. Drain chicken.
2. Pound chicken thin, coat with cajun seasoning.
3. Place neatly in 1/3 pan.
4. Wrap, date and store in fryer station.
for an order
5. Eggwash 1 piece of pounded chicken then dredge in panko.
6. Fry for 5 min or until 165 internal temp.
7. Toss in gochujang bbq sauce.
8. Plate on a bun with pickles and sriracha mayo on the bottom, slaw on the top. top sandwich with bun and stab with a paddle pick.",""
"Sundried Tomato Purée","Sauces & Condiments","1/3 bag Sundried Tomatoes BAG
1 qt Water HOT
1 tbsp Garlic
to taste Salt And Pepper","1. Soak tomatoes in water until soft, ~1 hour
2. Blend in robocoop until smooth with garlic and salt
3. Store and date in reach in cooler","N/A"
"Parmesan Citrus Vinaigrette 'old'","Sauces & Condiments","2 qt Olive Oil
2 cup Parmesan cheese
36 Anchovies In Salt filet
2 cup Lemon, juice frozen
1 cup Worcestershire Sauce
1/4 cup Dijon Mustard
to taste Salt And Pepper","1. Combine all but oil in robocoop until a thick paste is formed.
2. Slowly drizzle in oil until emulified
3. Label, date and store in reach in cooler","N/A"
"Hipster Mk.2","Prep & Pantry","8 Golden Beets roasted
8 Sweet Potato roasted
1/2 Cont Mushrooms sliced
4 Onion, diced white and sweated
2 Red Onion, diced and sweated
4 Jalapeno roasted
4 Cherries pepper
4 Calabrian Chilies In Oil chile
2 cup Sundried Tomato Purée
1 cup Garlic Oil
1 tbsp Ginger
to taste Salt And Pepper
to taste Panko bread crumbs","1. Blend all vegetables and seasonings together in robo coop
2. Move to mixing bowl, add enough panko bread crumbs till a 'dough' forms
3. Form patties, 2 heaping blue scoops per patty
4. Sear on flat top till golden on both sides
5. Cool on racks
6. Store 8pc per in a double gallon bags in freezer","N/A"
"Meat And Cheese Board  'old' 'plating'","Appetizers & Sides","3 ea Charcuterie slices or quenelles
3 ea Cheese portion
handful Sea Salt crisps
6 Cornichon
6 Dried Apricots
2 oz Marcona Almonds
2 oz Figs fig jam spread
1 pc Focaccia","1. Toast focaccia slice in oven
2. Assemble meat and cheese board on board with tile
3. Start with meats, then cheeses, cornichons, apricots, crackers, fig, almonds, focaccia
4. Meats need to be assembled, usually folded in half and neatly layed out
5. Quenelle of fig spread and any spreadable meat or cheese that may be in rotation at the time","N/A"
"Focaccia  'old' 'plating'","Breads & Doughs","6 sheet Focaccia (to prep)
1 pc Focaccia (to order)
Garlic Oil
Herb Mix
Extra Virgin Olive Oil EVOO","1. Slices half sheet tray in half long ways
2. Slices long pieces in 3 to get 6 pieces per half sheet
3. Wrap all pieces in plastic wrap
4. Unwrap focaccia and place in the oven
5. Drizzle with garlic and oil
6. Toast in the oven for 3 min until golden
7. Slice into 4 pieces for an order
8. Plate on oval plate, slices shingled, with EVOO and herb mix","N/A"
"Cantine Pizza 'old' 'plating'","Mains & Entrees","1 pc Focaccia of butterflied
Garlic Oil
8 pc Roasted Tomatoes devina
4 oz Shredded Mozzarella
handful Arugula
Garlic Oil
Red Onion shaved
Parmesan cheese","1. Butterfly focaccia so that you have half of the piece
2. Use half piece as crust
3. Drizzle garlic and oil onto crust
4. Top with tomatoes
5. Top with cheese
6. Bake in oven until cheese has some color
7. Slice into 4 triangles, serve on brown plate
8. Toss arugula and onion in garlic and oil
9. Sprinkle parmesan
10. Plate on pizza small and tall","N/A"
